Symptoms,Medicines
"stomach pain, sore throat","azithromycin, aciloc"
"stomach pain, headache, swelling, allergy, runny nose","cetirizine, diclofenac, aciloc"
runny nose,cetirizine
inflammation,diclofenac
"fever, body pain",paracetamol
"sore throat, cold, allergy, swelling, bacterial infection","cetirizine, azithromycin, diclofenac"
"acidity, allergy, headache","cetirizine, diclofenac, aciloc"
"sneezing, sore throat","cetirizine, azithromycin"
"stomach pain, body pain, runny nose, inflammation","cetirizine, diclofenac, aciloc"
cough,azithromycin
"sneezing, fever, stomach pain, acidity, swelling","paracetamol, cetirizine, diclofenac, aciloc"
bacterial infection,azithromycin
"sneezing, bacterial infection, cold","cetirizine, azithromycin"
"cough, headache, sneezing, stomach pain","cetirizine, azithromycin, diclofenac, aciloc"
"sore throat, acidity, swelling, fever","paracetamol, azithromycin, diclofenac, aciloc"
inflammation,diclofenac
"cough, stomach pain, sneezing, headache","cetirizine, azithromycin, diclofenac, aciloc"
"bacterial infection, cough, sore throat",azithromycin
"stomach pain, sore throat, cough, sneezing","cetirizine, azithromycin, aciloc"
"fever, allergy, bacterial infection","paracetamol, cetirizine, azithromycin"
inflammation,diclofenac
"sneezing, body pain","cetirizine, diclofenac"
"cough, cold, sore throat","cetirizine, azithromycin"
"cold, inflammation, cough, bacterial infection, headache","cetirizine, azithromycin, diclofenac"
"acidity, body pain, sneezing, headache","cetirizine, diclofenac, aciloc"
"acidity, inflammation, headache","diclofenac, aciloc"
"sneezing, headache, runny nose, bacterial infection, cold","cetirizine, azithromycin, diclofenac"
"swelling, stomach pain, body pain","diclofenac, aciloc"
"headache, sore throat","azithromycin, diclofenac"
"bacterial infection, runny nose, cough, body pain","cetirizine, azithromycin, diclofenac"
bacterial infection,azithromycin
"sneezing, swelling","cetirizine, diclofenac"
"allergy, bacterial infection, headache, stomach pain, cold","cetirizine, azithromycin, diclofenac, aciloc"
"acidity, inflammation, fever","paracetamol, diclofenac, aciloc"
"runny nose, allergy, swelling, sneezing, cough","cetirizine, azithromycin, diclofenac"
"sore throat, acidity, inflammation, allergy","cetirizine, azithromycin, diclofenac, aciloc"
inflammation,diclofenac
"acidity, allergy, headache, stomach pain, body pain","cetirizine, diclofenac, aciloc"
"inflammation, sore throat, swelling","azithromycin, diclofenac"
"body pain, cough","azithromycin, diclofenac"
"inflammation, swelling",diclofenac
"bacterial infection, fever","paracetamol, azithromycin"
"sore throat, swelling","azithromycin, diclofenac"
bacterial infection,azithromycin
"runny nose, headache, cough, swelling","cetirizine, azithromycin, diclofenac"
"headache, fever",paracetamol
stomach pain,aciloc
"sneezing, fever, body pain, swelling","paracetamol, cetirizine, diclofenac"
"allergy, headache, inflammation, bacterial infection","cetirizine, azithromycin, diclofenac"
"acidity, swelling, allergy, cough, inflammation","cetirizine, azithromycin, diclofenac, aciloc"
stomach pain,aciloc
"headache, body pain",diclofenac
"cold, headache","cetirizine, diclofenac"
"allergy, sore throat, bacterial infection, fever, swelling","paracetamol, cetirizine, azithromycin, diclofenac"
cold,cetirizine
"acidity, stomach pain, headache","diclofenac, aciloc"
"headache, body pain, bacterial infection, acidity","azithromycin, diclofenac, aciloc"
"headache, body pain",diclofenac
"inflammation, body pain, bacterial infection, sneezing, sore throat","cetirizine, azithromycin, diclofenac"
"body pain, allergy","cetirizine, diclofenac"
"cold, runny nose, fever, cough","paracetamol, cetirizine, azithromycin"
sneezing,cetirizine
"body pain, acidity, allergy, cough, swelling","cetirizine, azithromycin, diclofenac, aciloc"
stomach pain,aciloc
"cough, bacterial infection",azithromycin
"runny nose, headache","cetirizine, diclofenac"
"headache, inflammation",diclofenac
body pain,diclofenac
allergy,cetirizine
"stomach pain, swelling, cold, cough","cetirizine, azithromycin, diclofenac, aciloc"
"swelling, headache, sneezing","cetirizine, diclofenac"
"body pain, allergy","cetirizine, diclofenac"
"acidity, cough, bacterial infection, cold","cetirizine, azithromycin, aciloc"
sore throat,azithromycin
inflammation,diclofenac
"runny nose, inflammation","cetirizine, diclofenac"
"stomach pain, allergy, body pain, runny nose, sore throat","cetirizine, azithromycin, diclofenac, aciloc"
body pain,diclofenac
"swelling, headache, cough","azithromycin, diclofenac"
"body pain, fever, inflammation","paracetamol, diclofenac"
"sneezing, cold, stomach pain, sore throat","cetirizine, azithromycin, aciloc"
stomach pain,aciloc
"runny nose, inflammation, sneezing","cetirizine, diclofenac"
"swelling, allergy, inflammation, bacterial infection","cetirizine, azithromycin, diclofenac"
runny nose,cetirizine
"bacterial infection, acidity, swelling, runny nose","cetirizine, azithromycin, diclofenac, aciloc"
inflammation,diclofenac
"swelling, allergy, acidity, sneezing, stomach pain","cetirizine, diclofenac, aciloc"
"bacterial infection, acidity","azithromycin, aciloc"
"body pain, bacterial infection, sore throat, sneezing, acidity","cetirizine, azithromycin, diclofenac, aciloc"
"fever, stomach pain","paracetamol, aciloc"
cough,azithromycin
stomach pain,aciloc
"inflammation, bacterial infection, sore throat, acidity, runny nose","cetirizine, azithromycin, diclofenac, aciloc"
"cough, swelling","azithromycin, diclofenac"
"allergy, sore throat, bacterial infection","cetirizine, azithromycin"
"bacterial infection, inflammation, headache","azithromycin, diclofenac"
"swelling, fever","paracetamol, diclofenac"
sore throat,azithromycin
"body pain, stomach pain, cough, sore throat, acidity","azithromycin, diclofenac, aciloc"
body pain,diclofenac
"bacterial infection, sneezing, fever, inflammation, sore throat","paracetamol, cetirizine, azithromycin, diclofenac"
"allergy, sore throat, acidity","cetirizine, azithromycin, aciloc"
headache,diclofenac
"cough, inflammation, acidity, sore throat","azithromycin, diclofenac, aciloc"
"sore throat, bacterial infection, sneezing, swelling","cetirizine, azithromycin, diclofenac"
"runny nose, fever","paracetamol, cetirizine"
"body pain, allergy, fever","paracetamol, cetirizine"
"stomach pain, headache, sneezing, body pain, fever","paracetamol, cetirizine, aciloc"
"stomach pain, swelling, bacterial infection, sneezing","cetirizine, azithromycin, diclofenac, aciloc"
"acidity, cold, allergy, runny nose, swelling","cetirizine, diclofenac, aciloc"
"stomach pain, swelling, sneezing","cetirizine, diclofenac, aciloc"
"body pain, bacterial infection","azithromycin, diclofenac"
"fever, bacterial infection","paracetamol, azithromycin"
"fever, cold, sore throat, allergy, cough","paracetamol, cetirizine, azithromycin"
"cold, acidity, swelling, bacterial infection, stomach pain","cetirizine, azithromycin, diclofenac, aciloc"
"acidity, stomach pain",aciloc
cold,cetirizine
"acidity, cough, allergy, inflammation","cetirizine, azithromycin, diclofenac, aciloc"
"bacterial infection, runny nose, body pain","cetirizine, azithromycin, diclofenac"
"allergy, acidity, runny nose","cetirizine, aciloc"
"acidity, stomach pain",aciloc
"runny nose, body pain, cough, sore throat","cetirizine, azithromycin, diclofenac"
"allergy, bacterial infection, sore throat, runny nose, stomach pain","cetirizine, azithromycin, aciloc"
cold,cetirizine
"headache, body pain, acidity, runny nose, swelling","cetirizine, diclofenac, aciloc"
"acidity, cold, swelling, headache","cetirizine, diclofenac, aciloc"
"headache, acidity","diclofenac, aciloc"
"sore throat, headache, allergy","cetirizine, azithromycin, diclofenac"
"stomach pain, cough, inflammation, sneezing","cetirizine, azithromycin, diclofenac, aciloc"
cold,cetirizine
"fever, body pain, inflammation","paracetamol, diclofenac"
"runny nose, acidity","cetirizine, aciloc"
"cough, headache","azithromycin, diclofenac"
"fever, runny nose, stomach pain","paracetamol, cetirizine, aciloc"
"swelling, headache, sneezing, acidity","cetirizine, diclofenac, aciloc"
"sneezing, stomach pain, bacterial infection, swelling","cetirizine, azithromycin, diclofenac, aciloc"
"acidity, swelling, allergy, sore throat, sneezing","cetirizine, azithromycin, diclofenac, aciloc"
headache,diclofenac
"cold, sneezing, stomach pain","cetirizine, aciloc"
"bacterial infection, allergy, sore throat, body pain, inflammation","cetirizine, azithromycin, diclofenac"
"inflammation, stomach pain, cold, cough, acidity","cetirizine, azithromycin, diclofenac, aciloc"
"headache, fever",paracetamol
"cold, runny nose, acidity","cetirizine, aciloc"
"inflammation, sneezing, acidity, bacterial infection, headache","cetirizine, azithromycin, diclofenac, aciloc"
cough,azithromycin
body pain,diclofenac
"sneezing, stomach pain, headache, cold","cetirizine, diclofenac, aciloc"
"cough, sneezing, inflammation","cetirizine, azithromycin, diclofenac"
"runny nose, acidity","cetirizine, aciloc"
"inflammation, bacterial infection, runny nose","cetirizine, azithromycin, diclofenac"
bacterial infection,azithromycin
"bacterial infection, inflammation, body pain, cold, stomach pain","cetirizine, azithromycin, diclofenac, aciloc"
"bacterial infection, cough, sneezing, stomach pain","cetirizine, azithromycin, aciloc"
"sneezing, cold, bacterial infection, sore throat, fever","paracetamol, cetirizine, azithromycin"
inflammation,diclofenac
"stomach pain, swelling, bacterial infection, body pain","azithromycin, diclofenac, aciloc"
"fever, stomach pain, cold, headache","paracetamol, cetirizine, aciloc"
sneezing,cetirizine
"fever, headache, bacterial infection, body pain, cold","paracetamol, cetirizine, azithromycin"
"body pain, acidity, cough, inflammation, cold","cetirizine, azithromycin, diclofenac, aciloc"
allergy,cetirizine
"stomach pain, headache, sore throat, fever, cough","paracetamol, azithromycin, aciloc"
inflammation,diclofenac
"sore throat, acidity","azithromycin, aciloc"
"bacterial infection, fever","paracetamol, azithromycin"
"body pain, inflammation, cough","azithromycin, diclofenac"
"cough, swelling, allergy","cetirizine, azithromycin, diclofenac"
"inflammation, headache, allergy, runny nose","cetirizine, diclofenac"
"swelling, headache, fever, bacterial infection, stomach pain","paracetamol, azithromycin, diclofenac, aciloc"
"sore throat, body pain","azithromycin, diclofenac"
"acidity, bacterial infection, allergy","cetirizine, azithromycin, aciloc"
"fever, stomach pain, headache, acidity","paracetamol, aciloc"
body pain,diclofenac
"sneezing, acidity, stomach pain","cetirizine, aciloc"
sore throat,azithromycin
sneezing,cetirizine
sneezing,cetirizine
"acidity, headache, fever, bacterial infection","paracetamol, azithromycin, aciloc"
"stomach pain, acidity, headache, fever, runny nose","paracetamol, cetirizine, aciloc"
"sore throat, headache, sneezing","cetirizine, azithromycin, diclofenac"
"sneezing, bacterial infection, allergy, sore throat, acidity","cetirizine, azithromycin, aciloc"
"body pain, inflammation",diclofenac
"cough, headache, acidity, runny nose","cetirizine, azithromycin, diclofenac, aciloc"
"inflammation, cough, body pain","azithromycin, diclofenac"
"body pain, sore throat, inflammation","azithromycin, diclofenac"
"acidity, swelling, bacterial infection, headache","azithromycin, diclofenac, aciloc"
"allergy, cold, runny nose, bacterial infection, sneezing","cetirizine, azithromycin"
stomach pain,aciloc
"cold, cough, acidity, stomach pain, headache","cetirizine, azithromycin, diclofenac, aciloc"
"inflammation, fever","paracetamol, diclofenac"
"sore throat, headache","azithromycin, diclofenac"
body pain,diclofenac
sneezing,cetirizine
sore throat,azithromycin
"swelling, inflammation, acidity, cough, allergy","cetirizine, azithromycin, diclofenac, aciloc"
"sneezing, allergy",cetirizine
"headache, bacterial infection, acidity","azithromycin, diclofenac, aciloc"
"stomach pain, acidity, sore throat, swelling","azithromycin, diclofenac, aciloc"
"bacterial infection, sneezing, cough, runny nose, swelling","cetirizine, azithromycin, diclofenac"
"stomach pain, fever, acidity, inflammation, sore throat","paracetamol, azithromycin, diclofenac, aciloc"
"sore throat, allergy, bacterial infection, acidity, cold","cetirizine, azithromycin, aciloc"
"cough, cold, bacterial infection","cetirizine, azithromycin"
"cough, cold, headache, bacterial infection","cetirizine, azithromycin, diclofenac"
"sneezing, stomach pain, bacterial infection","cetirizine, azithromycin, aciloc"
"cough, sore throat, cold, runny nose","cetirizine, azithromycin"
"runny nose, body pain, fever, stomach pain, cold","paracetamol, cetirizine, aciloc"
"cold, acidity, fever","paracetamol, cetirizine, aciloc"
"stomach pain, acidity, inflammation","diclofenac, aciloc"
"swelling, sneezing, cough, fever, body pain","paracetamol, cetirizine, azithromycin, diclofenac"
"sore throat, stomach pain, runny nose, sneezing","cetirizine, azithromycin, aciloc"
"swelling, fever, body pain","paracetamol, diclofenac"
"cold, sneezing, inflammation","cetirizine, diclofenac"
acidity,aciloc
"bacterial infection, body pain, sneezing, headache, fever","paracetamol, cetirizine, azithromycin"
bacterial infection,azithromycin
stomach pain,aciloc
"bacterial infection, allergy","cetirizine, azithromycin"
"runny nose, bacterial infection, inflammation, sneezing","cetirizine, azithromycin, diclofenac"
"runny nose, swelling, allergy, fever","paracetamol, cetirizine, diclofenac"
"body pain, bacterial infection, headache","azithromycin, diclofenac"
"stomach pain, sneezing, bacterial infection","cetirizine, azithromycin, aciloc"
"swelling, inflammation, stomach pain, headache","diclofenac, aciloc"
"sneezing, allergy, stomach pain, sore throat","cetirizine, azithromycin, aciloc"
"cold, sneezing, sore throat, inflammation, headache","cetirizine, azithromycin, diclofenac"
runny nose,cetirizine
"headache, inflammation",diclofenac
swelling,diclofenac
"fever, swelling, cough, sneezing","paracetamol, cetirizine, azithromycin, diclofenac"
"swelling, body pain, inflammation",diclofenac
"allergy, stomach pain, sore throat, cold","cetirizine, azithromycin, aciloc"
"stomach pain, sneezing, runny nose","cetirizine, aciloc"
"inflammation, sneezing, bacterial infection, headache, body pain","cetirizine, azithromycin, diclofenac"
"stomach pain, inflammation","diclofenac, aciloc"
"cough, stomach pain, fever, acidity, allergy","paracetamol, cetirizine, azithromycin, aciloc"
"sneezing, sore throat, inflammation","cetirizine, azithromycin, diclofenac"
stomach pain,aciloc
"headache, stomach pain, swelling, bacterial infection, cold","cetirizine, azithromycin, diclofenac, aciloc"
swelling,diclofenac
"acidity, sore throat, allergy","cetirizine, azithromycin, aciloc"
"fever, runny nose, sneezing, allergy, inflammation","paracetamol, cetirizine, diclofenac"
"cough, sneezing","cetirizine, azithromycin"
"headache, body pain, sore throat, inflammation","azithromycin, diclofenac"
"inflammation, cold","cetirizine, diclofenac"
"cold, swelling","cetirizine, diclofenac"
acidity,aciloc
"bacterial infection, inflammation, stomach pain","azithromycin, diclofenac, aciloc"
"swelling, fever, inflammation","paracetamol, diclofenac"
"sneezing, swelling, cough, inflammation, fever","paracetamol, cetirizine, azithromycin, diclofenac"
"sore throat, acidity, swelling, inflammation, stomach pain","azithromycin, diclofenac, aciloc"
"stomach pain, fever, acidity, bacterial infection","paracetamol, azithromycin, aciloc"
allergy,cetirizine
"inflammation, fever","paracetamol, diclofenac"
fever,paracetamol
"sneezing, acidity, body pain","cetirizine, diclofenac, aciloc"
"headache, acidity","diclofenac, aciloc"
cough,azithromycin
"runny nose, acidity, sore throat, cold","cetirizine, azithromycin, aciloc"
sneezing,cetirizine
"fever, swelling, stomach pain","paracetamol, diclofenac, aciloc"
acidity,aciloc
cough,azithromycin
"cold, swelling, body pain, acidity, fever","paracetamol, cetirizine, diclofenac, aciloc"
"sore throat, bacterial infection, stomach pain","azithromycin, aciloc"
"fever, runny nose","paracetamol, cetirizine"
"cold, body pain, bacterial infection, headache","cetirizine, azithromycin, diclofenac"
"sneezing, stomach pain, fever, acidity","paracetamol, cetirizine, aciloc"
"sneezing, inflammation, cold, swelling, sore throat","cetirizine, azithromycin, diclofenac"
"fever, sneezing","paracetamol, cetirizine"
"runny nose, inflammation, cough","cetirizine, azithromycin, diclofenac"
"bacterial infection, runny nose, headache, sore throat, fever","paracetamol, cetirizine, azithromycin"
stomach pain,aciloc
"sneezing, runny nose",cetirizine
"headache, cough, acidity, bacterial infection, inflammation","azithromycin, diclofenac, aciloc"
"sore throat, sneezing, cough","cetirizine, azithromycin"
acidity,aciloc
"bacterial infection, sneezing, headache","cetirizine, azithromycin, diclofenac"
body pain,diclofenac
"swelling, acidity, fever","paracetamol, diclofenac, aciloc"
"sore throat, bacterial infection, allergy, swelling, cough","cetirizine, azithromycin, diclofenac"
"stomach pain, swelling","diclofenac, aciloc"
"headache, sore throat, cough, allergy, swelling","cetirizine, azithromycin, diclofenac"
"bacterial infection, allergy, cold","cetirizine, azithromycin"
"sneezing, stomach pain","cetirizine, aciloc"
bacterial infection,azithromycin
"sore throat, allergy","cetirizine, azithromycin"
"inflammation, headache, runny nose, bacterial infection","cetirizine, azithromycin, diclofenac"
cough,azithromycin
"headache, sneezing, sore throat, fever, cold","paracetamol, cetirizine, azithromycin"
"fever, cold, swelling, inflammation","paracetamol, cetirizine, diclofenac"
"sore throat, sneezing, body pain","cetirizine, azithromycin, diclofenac"
"sneezing, stomach pain, bacterial infection, acidity","cetirizine, azithromycin, aciloc"
"sneezing, swelling, cold, runny nose, fever","paracetamol, cetirizine, diclofenac"
"cough, acidity, runny nose, swelling, cold","cetirizine, azithromycin, diclofenac, aciloc"
runny nose,cetirizine
sneezing,cetirizine
sore throat,azithromycin
"stomach pain, fever, cold, sneezing, swelling","paracetamol, cetirizine, diclofenac, aciloc"
"bacterial infection, allergy, runny nose, headache, acidity","cetirizine, azithromycin, diclofenac, aciloc"
"sneezing, inflammation, fever, bacterial infection, swelling","paracetamol, cetirizine, azithromycin, diclofenac"
"acidity, stomach pain",aciloc
"fever, swelling, cough, inflammation","paracetamol, azithromycin, diclofenac"
"bacterial infection, body pain","azithromycin, diclofenac"
"sneezing, stomach pain","cetirizine, aciloc"
"runny nose, allergy, fever, sneezing, body pain","paracetamol, cetirizine"
"body pain, fever, headache, allergy","paracetamol, cetirizine"
"sore throat, fever, body pain, bacterial infection, headache","paracetamol, azithromycin"
cough,azithromycin
"bacterial infection, acidity, inflammation","azithromycin, diclofenac, aciloc"
"sore throat, body pain, sneezing, bacterial infection, acidity","cetirizine, azithromycin, diclofenac, aciloc"
"runny nose, headache","cetirizine, diclofenac"
"cold, headache","cetirizine, diclofenac"
"sneezing, allergy, bacterial infection","cetirizine, azithromycin"
"allergy, fever, stomach pain, sneezing, cough","paracetamol, cetirizine, azithromycin, aciloc"
"runny nose, allergy, body pain, fever, stomach pain","paracetamol, cetirizine, aciloc"
"sore throat, acidity, swelling, sneezing","cetirizine, azithromycin, diclofenac, aciloc"
"headache, body pain, sore throat","azithromycin, diclofenac"
"sore throat, body pain, stomach pain, runny nose, headache","cetirizine, azithromycin, diclofenac, aciloc"
"cold, headache","cetirizine, diclofenac"
"stomach pain, acidity",aciloc
"fever, allergy, runny nose","paracetamol, cetirizine"
"inflammation, headache, sneezing","cetirizine, diclofenac"
"sore throat, cold, fever, swelling","paracetamol, cetirizine, azithromycin, diclofenac"
cold,cetirizine
"allergy, runny nose",cetirizine
allergy,cetirizine
"stomach pain, body pain","diclofenac, aciloc"
"allergy, bacterial infection","cetirizine, azithromycin"
headache,diclofenac
"headache, bacterial infection, stomach pain, cold, cough","cetirizine, azithromycin, diclofenac, aciloc"
"sneezing, inflammation","cetirizine, diclofenac"
bacterial infection,azithromycin
"body pain, inflammation",diclofenac
swelling,diclofenac
"bacterial infection, headache, inflammation, cough","azithromycin, diclofenac"
swelling,diclofenac
"sneezing, runny nose, sore throat, inflammation, bacterial infection","cetirizine, azithromycin, diclofenac"
body pain,diclofenac
"swelling, headache",diclofenac
"fever, acidity, runny nose, headache, allergy","paracetamol, cetirizine, aciloc"
"bacterial infection, headache","azithromycin, diclofenac"
"allergy, fever, body pain, cough, swelling","paracetamol, cetirizine, azithromycin, diclofenac"
"fever, runny nose","paracetamol, cetirizine"
"stomach pain, cough, inflammation, allergy, fever","azithromycin, aciloc, paracetamol, cetirizine, diclofenac"
"sore throat, runny nose, swelling","cetirizine, azithromycin, diclofenac"
"body pain, acidity","diclofenac, aciloc"
"acidity, body pain, bacterial infection, cough, fever","paracetamol, azithromycin, aciloc"
"sneezing, bacterial infection","cetirizine, azithromycin"
inflammation,diclofenac
"sore throat, bacterial infection, swelling, stomach pain, fever","paracetamol, azithromycin, diclofenac, aciloc"
headache,diclofenac
"bacterial infection, inflammation, body pain, swelling","azithromycin, diclofenac"
"sore throat, runny nose, sneezing","cetirizine, azithromycin"
"cold, acidity, cough, headache, sore throat","cetirizine, azithromycin, diclofenac, aciloc"
"sneezing, allergy, cold, sore throat","cetirizine, azithromycin"
"inflammation, body pain, swelling",diclofenac
"headache, stomach pain, sneezing","cetirizine, diclofenac, aciloc"
"stomach pain, bacterial infection, runny nose, body pain","cetirizine, azithromycin, diclofenac, aciloc"
"runny nose, stomach pain, cough, swelling, sore throat","cetirizine, azithromycin, diclofenac, aciloc"
sore throat,azithromycin
"body pain, bacterial infection, fever","paracetamol, azithromycin"
sore throat,azithromycin
"cough, acidity, cold, inflammation","cetirizine, azithromycin, diclofenac, aciloc"
"cough, bacterial infection",azithromycin
"cough, headache, body pain","azithromycin, diclofenac"
acidity,aciloc
"cough, stomach pain, inflammation","azithromycin, diclofenac, aciloc"
"fever, headache, swelling, sore throat","paracetamol, azithromycin, diclofenac"
"body pain, inflammation, runny nose","cetirizine, diclofenac"
"swelling, fever, cold, allergy","paracetamol, cetirizine, diclofenac"
fever,paracetamol
"sore throat, cold, acidity, body pain, stomach pain","cetirizine, azithromycin, diclofenac, aciloc"
"fever, sneezing, runny nose","paracetamol, cetirizine"
"sore throat, cough, bacterial infection",azithromycin
"fever, swelling, sneezing","paracetamol, cetirizine, diclofenac"
"inflammation, bacterial infection, stomach pain, sneezing","cetirizine, azithromycin, diclofenac, aciloc"
fever,paracetamol
"swelling, stomach pain, fever, sneezing, cold","paracetamol, cetirizine, diclofenac, aciloc"
"cold, stomach pain","cetirizine, aciloc"
cough,azithromycin
"cold, acidity, sneezing, cough, inflammation","cetirizine, azithromycin, diclofenac, aciloc"
"cough, fever","paracetamol, azithromycin"
stomach pain,aciloc
"fever, headache",paracetamol
allergy,cetirizine
"runny nose, fever, cough, swelling, acidity","azithromycin, aciloc, paracetamol, cetirizine, diclofenac"
"swelling, body pain, cough, allergy","cetirizine, azithromycin, diclofenac"
"cough, cold","cetirizine, azithromycin"
headache,diclofenac
"body pain, fever, stomach pain","paracetamol, aciloc"
"headache, cold, sore throat, cough","cetirizine, azithromycin, diclofenac"
sore throat,azithromycin
"fever, body pain, runny nose, stomach pain","paracetamol, cetirizine, aciloc"
"bacterial infection, cough, headache","azithromycin, diclofenac"
"cold, swelling, runny nose","cetirizine, diclofenac"
"acidity, body pain, fever, swelling, sneezing","paracetamol, cetirizine, diclofenac, aciloc"
"acidity, allergy, fever, sore throat, body pain","paracetamol, cetirizine, azithromycin, aciloc"
fever,paracetamol
"swelling, body pain",diclofenac
"stomach pain, sore throat, runny nose, inflammation","cetirizine, azithromycin, diclofenac, aciloc"
"acidity, cough, sore throat, headache, sneezing","cetirizine, azithromycin, diclofenac, aciloc"
"fever, cough","paracetamol, azithromycin"
"bacterial infection, fever, swelling, inflammation, body pain","paracetamol, azithromycin, diclofenac"
"runny nose, stomach pain, swelling, allergy","cetirizine, diclofenac, aciloc"
"body pain, allergy, acidity","cetirizine, diclofenac, aciloc"
inflammation,diclofenac
"sneezing, bacterial infection, acidity","cetirizine, azithromycin, aciloc"
"inflammation, runny nose","cetirizine, diclofenac"
"allergy, cough, runny nose, bacterial infection","cetirizine, azithromycin"
"headache, inflammation",diclofenac
"headache, fever, runny nose, body pain, swelling","paracetamol, cetirizine, diclofenac"
cough,azithromycin
"sneezing, fever, stomach pain, runny nose","paracetamol, cetirizine, aciloc"
"cold, body pain, acidity, allergy, stomach pain","cetirizine, diclofenac, aciloc"
"fever, runny nose, cold, acidity","paracetamol, cetirizine, aciloc"
"headache, sneezing, acidity, stomach pain","cetirizine, diclofenac, aciloc"
"allergy, sneezing",cetirizine
"bacterial infection, stomach pain, runny nose, acidity","cetirizine, azithromycin, aciloc"
"cough, stomach pain, fever, body pain","paracetamol, azithromycin, aciloc"
"fever, sneezing, body pain","paracetamol, cetirizine"
"cold, inflammation","cetirizine, diclofenac"
"inflammation, runny nose, swelling","cetirizine, diclofenac"
"body pain, runny nose, bacterial infection, swelling, acidity","cetirizine, azithromycin, diclofenac, aciloc"
sore throat,azithromycin
body pain,diclofenac
"swelling, cold, sneezing","cetirizine, diclofenac"
"runny nose, stomach pain, swelling, bacterial infection, body pain","cetirizine, azithromycin, diclofenac, aciloc"
"cold, fever, cough","paracetamol, cetirizine, azithromycin"
sore throat,azithromycin
"headache, body pain, cold, sneezing, runny nose","cetirizine, diclofenac"
"cough, swelling, headache, fever, sore throat","paracetamol, azithromycin, diclofenac"
"swelling, sore throat, acidity, bacterial infection","azithromycin, diclofenac, aciloc"
"stomach pain, inflammation, headache, bacterial infection, cough","azithromycin, diclofenac, aciloc"
inflammation,diclofenac
"body pain, runny nose, sneezing","cetirizine, diclofenac"
"sore throat, swelling, acidity, body pain, headache","azithromycin, diclofenac, aciloc"
"body pain, sneezing, fever, bacterial infection, acidity","paracetamol, cetirizine, azithromycin, aciloc"
"sneezing, cough, cold, swelling","cetirizine, azithromycin, diclofenac"
"runny nose, cough","cetirizine, azithromycin"
"sneezing, body pain","cetirizine, diclofenac"
"swelling, body pain, cold, runny nose","cetirizine, diclofenac"
fever,paracetamol
"swelling, stomach pain","diclofenac, aciloc"
"sneezing, stomach pain","cetirizine, aciloc"
"body pain, stomach pain, allergy, inflammation","cetirizine, diclofenac, aciloc"
"swelling, bacterial infection","azithromycin, diclofenac"
"inflammation, cold, runny nose, headache","cetirizine, diclofenac"
"swelling, inflammation, headache, stomach pain","diclofenac, aciloc"
"fever, bacterial infection, stomach pain, inflammation, swelling","paracetamol, azithromycin, diclofenac, aciloc"
"cough, body pain, sore throat, sneezing, allergy","cetirizine, azithromycin, diclofenac"
cold,cetirizine
allergy,cetirizine
"swelling, bacterial infection","azithromycin, diclofenac"
"bacterial infection, headache, acidity","azithromycin, diclofenac, aciloc"
"cold, headache, sneezing","cetirizine, diclofenac"
"allergy, fever, inflammation, bacterial infection, swelling","paracetamol, cetirizine, azithromycin, diclofenac"
"swelling, acidity","diclofenac, aciloc"
"sore throat, inflammation, body pain","azithromycin, diclofenac"
"headache, cough, sneezing, runny nose, sore throat","cetirizine, azithromycin, diclofenac"
"runny nose, bacterial infection, sneezing","cetirizine, azithromycin"
"cough, headache, swelling","azithromycin, diclofenac"
"allergy, body pain","cetirizine, diclofenac"
"cough, cold, fever","paracetamol, cetirizine, azithromycin"
stomach pain,aciloc
"allergy, headache, swelling, sneezing, sore throat","cetirizine, azithromycin, diclofenac"
"runny nose, body pain, acidity, inflammation","cetirizine, diclofenac, aciloc"
"body pain, sore throat, swelling, stomach pain","azithromycin, diclofenac, aciloc"
"acidity, headache","diclofenac, aciloc"
bacterial infection,azithromycin
"sneezing, inflammation, runny nose, acidity, swelling","cetirizine, diclofenac, aciloc"
"body pain, acidity","diclofenac, aciloc"
"fever, sneezing, stomach pain, runny nose","paracetamol, cetirizine, aciloc"
"allergy, stomach pain, sore throat, cold","cetirizine, azithromycin, aciloc"
"cough, allergy, headache, sneezing","cetirizine, azithromycin, diclofenac"
"headache, cough, sore throat, fever","paracetamol, azithromycin"
"swelling, runny nose, cold, sneezing","cetirizine, diclofenac"
"stomach pain, cold","cetirizine, aciloc"
"runny nose, acidity","cetirizine, aciloc"
cold,cetirizine
stomach pain,aciloc
body pain,diclofenac
"sore throat, allergy","cetirizine, azithromycin"
"swelling, headache, cough","azithromycin, diclofenac"
"cough, allergy, cold","cetirizine, azithromycin"
"sneezing, headache, cold, sore throat, allergy","cetirizine, azithromycin, diclofenac"
"swelling, cough, inflammation, runny nose","cetirizine, azithromycin, diclofenac"
"allergy, headache","cetirizine, diclofenac"
"headache, bacterial infection","azithromycin, diclofenac"
"swelling, acidity, runny nose","cetirizine, diclofenac, aciloc"
"stomach pain, cough","azithromycin, aciloc"
sore throat,azithromycin
"allergy, runny nose, sneezing, fever","paracetamol, cetirizine"
"fever, swelling","paracetamol, diclofenac"
"acidity, swelling, inflammation, fever","paracetamol, diclofenac, aciloc"
"allergy, cough, swelling","cetirizine, azithromycin, diclofenac"
"runny nose, bacterial infection","cetirizine, azithromycin"
"cough, cold","cetirizine, azithromycin"
acidity,aciloc
